,Hydrocarbon_type_(main),Depth_(top_reservoir_ft_TVD),Tectonic_regime,Structural_setting,Region,Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period,Lithology_(main),Permeability_(air_average_mD),Porosity_(matrix_average_%)
0,GAS,8763.5,STRIKE-SLIP,BACKARC,FAR EAST,160.0,71.5,NEOGENE,SANDSTONE,4350.0,17.5
1,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,1152.0,205.0,NEOGENE,SANDSTONE,850.0,17.5
2,OIL,7513.5,EXTENSION,RIFT,EUROPE,46.5,11.5,PERMIAN,SANDSTONE,4350.0,41.5
3,OIL,15389.0,STRIKE-SLIP,WRENCH,FAR EAST,475.0,101.5,NEOGENE,SANDSTONE,4350.0,41.5
4,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,71.5,CRETACEOUS,SANDSTONE,161.0,17.5
5,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,DEVONIAN,DOLOMITE,14.0,12.65
6,OIL,8763.5,GRAVITY,SALT,NORTH AMERICA,160.0,11.5,NEOGENE,SANDSTONE,161.0,22.75
7,OIL,7513.5,COMPRESSION,RIFT,FORMER SOVIET UNION,7000.0,1700.5,PROTEROZOIC,DOLOMITE,14.0,10.15
8,GAS-CONDENSATE,10170.0,INVERSION,INVERSION,NORTH AMERICA,345.0,140.0,PALEOGENE,SANDSTONE,4350.0,41.5
9,OIL,10170.0,COMPRESSION,FORELAND,MIDDLE EAST,46.5,11.5,JURASSIC,LIMESTONE,161.0,20.0
10,OIL,5153.499999999999,INVERSION,INVERSION,FAR EAST,160.0,48.25,NEOGENE,THINLY-BEDDED SANDSTONE,4350.0,26.25
11,OIL,5153.499999999999,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,676.9999999999999,48.25,CARBONIFEROUS,DOLOMITE,361.0,26.25
12,OIL,15389.0,INVERSION,RIFT,EUROPE,245.0,140.0,JURASSIC,SANDSTONE,35.0,10.15
13,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,CRETACEOUS,SANDSTONE,361.0,20.0
14,OIL,2960.5,EXTENSION,RIFT,FAR EAST,1152.0,205.0,PROTEROZOIC,DOLOMITE,35.0,20.0
15,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,245.0,71.5,PERMIAN,SILTSTONE,1.305,41.5
16,GAS-CONDENSATE,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,475.0,101.5,CRETACEOUS,SILTSTONE,1.305,10.15
17,GAS-CONDENSATE,6288.5,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,345.0,11.5,CARBONIFEROUS,DOLOMITE,75.0,15.0
18,GAS-CONDENSATE,15389.0,INVERSION,RIFT,EUROPE,245.0,101.5,PALEOGENE,SANDSTONE,161.0,26.25
19,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,245.0,48.25,PERMIAN,SANDSTONE,850.0,17.5
20,OIL,4089.999999999999,EXTENSION,RIFT,EUROPE,676.9999999999999,48.25,JURASSIC,SANDSTONE,161.0,17.5
21,OIL,1320.5,INVERSION,INVERSION,FORMER SOVIET UNION,1152.0,1700.5,NEOGENE,SANDSTONE,35.0,17.5
22,OIL,1320.5,EXTENSION,RIFT,FAR EAST,345.0,29.75,PALEOGENE,SANDSTONE,161.0,22.75
23,OIL,2960.5,GRAVITY,DELTA,NORTH AMERICA,101.0,48.25,PALEOGENE,SANDSTONE,35.0,17.5
24,OIL,8763.5,EXTENSION,RIFT,EUROPE,345.0,48.25,TRIASSIC,SANDSTONE,850.0,22.75
25,OIL,7513.5,COMPRESSION,INVERSION,FORMER SOVIET UNION,676.9999999999999,1700.5,NEOGENE,SANDSTONE,1.305,10.15
26,GAS-CONDENSATE,6288.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,46.5,29.75,DEVONIAN,LIMESTONE,35.0,12.65
27,OIL,7513.5,COMPRESSION,THRUST,NORTH AMERICA,160.0,71.5,CARBONIFEROUS,DOLOMITE,5.3,10.15
28,GAS,1320.5,COMPRESSION,FORELAND,FAR EAST,676.9999999999999,337.5,JURASSIC,SANDSTONE,14.0,20.0
29,OIL,4089.999999999999,COMPRESSION,THRUST,NORTH AMERICA,160.0,29.75,CARBONIFEROUS,LIMESTONE,361.0,22.75
30,OIL,5153.499999999999,GRAVITY,SALT,MIDDLE EAST,245.0,337.5,CRETACEOUS,CHALKY LIMESTONE,1.305,10.15
31,GAS,2960.5,GRAVITY,SALT,NORTH AMERICA,46.5,29.75,CRETACEOUS,SILTSTONE,14.0,15.0
