,Lithology_(main),Hydrocarbon_type_(main),Tectonic_regime,Structural_setting,Region,Permeability_(air_average_mD),Porosity_(matrix_average_%),Depth_(top_reservoir_ft_TVD),Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period
0,DOLOMITE,METHANE HYDRATE,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,17.5,1320.5,7000.0,337.5,NEOGENE
1,THINLY-BEDDED SANDSTONE,GAS,GRAVITY,SALT,MIDDLE EAST,35.0,26.25,4089.999999999999,1152.0,140.0,CRETACEOUS
2,LOW-RESISTIVITY SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,14.0,12.65,15389.0,101.0,11.5,NEOGENE
3,SANDSTONE,OIL,GRAVITY,SALT,EUROPE,161.0,15.0,6288.5,475.0,101.5,CRETACEOUS
4,SANDSTONE,GAS,GRAVITY,DELTA,FAR EAST,850.0,26.25,1320.5,101.0,71.5,JURASSIC
5,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,15.0,10170.0,475.0,205.0,JURASSIC
6,SANDSTONE,GAS-CONDENSATE,INVERSION,INVERSION,FAR EAST,161.0,15.0,1320.5,1152.0,71.5,PALEOGENE
7,LIMESTONE,OIL,STRIKE-SLIP,WRENCH,LATIN AMERICA,161.0,12.65,6288.5,345.0,71.5,PALEOGENE
8,LOW-RESISTIVITY SANDSTONE,GAS,INVERSION,INVERSION,FAR EAST,14.0,12.65,6288.5,245.0,337.5,NEOGENE
9,SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,1.305,10.15,2960.5,7000.0,1700.5,JURASSIC
10,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,SALT,MIDDLE EAST,850.0,17.5,1320.5,160.0,11.5,CRETACEOUS
11,SILTSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,22.75,8763.5,1152.0,337.5,CARBONIFEROUS
12,SHALY SANDSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,850.0,41.5,6288.5,160.0,29.75,NEOGENE
13,SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,35.0,17.5,15389.0,101.0,29.75,CRETACEOUS
14,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,4350.0,41.5,5153.499999999999,676.9999999999999,48.25,JURASSIC
15,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,14.0,5.05,7513.5,46.5,29.75,DEVONIAN
16,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,17.5,8763.5,475.0,337.5,ORDOVICIAN
17,LIMESTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,35.0,5.05,2960.5,46.5,11.5,SILURIAN
18,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,361.0,41.5,1320.5,345.0,29.75,ORDOVICIAN
19,SANDSTONE,GAS,GRAVITY,DELTA,NORTH AMERICA,1.305,10.15,15389.0,7000.0,337.5,CAMBRIAN
20,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,161.0,22.75,15389.0,345.0,71.5,PALEOGENE
21,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,161.0,15.0,6288.5,676.9999999999999,337.5,CARBONIFEROUS
22,SANDSTONE,OIL,INVERSION,INVERSION,LATIN AMERICA,161.0,15.0,15389.0,245.0,71.5,CRETACEOUS
23,LIMESTONE,OIL,GRAVITY,DELTA,AFRICA,35.0,12.65,7513.5,1152.0,1700.5,CRETACEOUS
24,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,161.0,22.75,8763.5,160.0,71.5,TRIASSIC
25,SANDSTONE,OIL,GRAVITY,SALT,EUROPE,850.0,20.0,7513.5,475.0,140.0,CRETACEOUS
26,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,5.3,15.0,8763.5,676.9999999999999,101.5,CRETACEOUS
27,SANDSTONE,OIL,INVERSION,INTRACRATONIC,FAR EAST,850.0,12.65,7513.5,101.0,29.75,NEOGENE
28,DOLOMITE,OIL,EXTENSION,RIFT,EUROPE,75.0,10.15,6288.5,46.5,29.75,CRETACEOUS
29,SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,35.0,12.65,15389.0,160.0,140.0,PALEOGENE
30,SANDSTONE,GAS-CONDENSATE,INVERSION,SALT,EUROPE,361.0,22.75,4089.999999999999,1152.0,337.5,JURASSIC
31,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,1320.5,46.5,29.75,CRETACEOUS
32,DOLOMITE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,5.3,5.05,6288.5,676.9999999999999,205.0,JURASSIC
33,DOLOMITE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,14.0,5.05,15389.0,160.0,140.0,CARBONIFEROUS
34,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,1320.5,46.5,48.25,CARBONIFEROUS
35,DOLOMITE,OIL,EXTENSION,SUB-SALT,AFRICA,5.3,5.05,4089.999999999999,345.0,205.0,CRETACEOUS
36,DOLOMITIC LIMESTONE,OIL,EXTENSION,RIFT,EUROPE,35.0,20.0,8763.5,7000.0,101.5,JURASSIC
37,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,15389.0,46.5,11.5,DEVONIAN
38,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,22.75,7513.5,7000.0,1700.5,NEOGENE
39,CONGLOMERATE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,10.15,2960.5,46.5,48.25,DEVONIAN
40,SANDSTONE,GAS,INVERSION,SUB-SALT,EUROPE,1.305,5.05,15389.0,245.0,71.5,JURASSIC
41,SANDSTONE,OIL,GRAVITY,DELTA,FAR EAST,4350.0,26.25,2960.5,345.0,11.5,PALEOGENE
42,LOW-RESISTIVITY SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,361.0,17.5,7513.5,160.0,48.25,PALEOGENE
43,SANDSTONE,GAS,COMPRESSION,FORELAND,FORMER SOVIET UNION,361.0,12.65,7513.5,160.0,29.75,JURASSIC
44,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,5.3,10.15,5153.499999999999,345.0,337.5,TRIASSIC
45,DOLOMITE,OIL,INVERSION,SALT,EUROPE,14.0,15.0,8763.5,46.5,29.75,CRETACEOUS
46,VOLCANICS,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,361.0,15.0,5153.499999999999,46.5,11.5,DEVONIAN
47,SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,850.0,26.25,5153.499999999999,101.0,48.25,CRETACEOUS
48,LIMESTONE,GAS,GRAVITY,SALT,NORTH AMERICA,35.0,10.15,6288.5,676.9999999999999,337.5,CRETACEOUS
49,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,22.75,7513.5,676.9999999999999,205.0,JURASSIC
50,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,35.0,15.0,2960.5,1152.0,337.5,PROTEROZOIC
